"FIPStxt","POVALL_2018","MEDHHINC_2018","Percent of adults with less than a high school diploma, 2014-18","Percent of adults with a high school diploma only, 2014-18","Percent of adults completing some college or associate's degree, 2014-18","Percent of adults with a bachelor's degree or higher, 2014-18","FIPS","County","State"
1001,7587,59338,11.3,32.6,28.4,27.7,"01001","AUTAUGA","AL"
1003,21069,57588,9.7,27.6,31.3,31.3,"01003","BALDWIN","AL"
1005,6788,34382,27,35.7,25.1,12.2,"01005","BARBOUR","AL"
1007,4400,46064,16.8,47.3,24.4,11.5,"01007","BIBB","AL"
1009,7527,50412,19.8,34,33.5,12.6,"01009","BLOUNT","AL"
1011,3610,29267,24.8,39.7,22.3,13.3,"01011","BULLOCK","AL"
1013,4731,37365,15.4,43.9,24.6,16.1,"01013","BUTLER","AL"
1015,21719,45400,15.9,32.4,33.7,18,"01015","CALHOUN","AL"
1017,6181,39917,18.6,38.4,29.7,13.2,"01017","CHAMBERS","AL"
1019,4180,42132,19.8,38.3,29,12.9,"01019","CHEROKEE","AL"
1021,7542,47547,17.8,44.1,24,14.2,"01021","CHILTON","AL"
1023,2806,39907,18.6,38.2,30.2,13,"01023","CHOCTAW","AL"
1025,5381,40741,18.8,43.7,24.9,12.6,"01025","CLARKE","AL"
1027,2285,39201,24.5,36.3,29.1,10.2,"01027","CLAY","AL"
1029,2356,46495,22.6,39.6,24.1,13.7,"01029","CLEBURNE","AL"
1031,7053,55122,13.8,27.9,34.9,23.4,"01031","COFFEE","AL"
1033,7459,49055,15.6,36,29.7,18.7,"01033","COLBERT","AL"
1035,2979,32613,19.2,48.8,21.3,10.7,"01035","CONECUH","AL"
1037,1973,42423,20.4,38.6,29.5,11.6,"01037","COOSA","AL"
1039,7239,40203,17.1,35.4,32.5,14.9,"01039","COVINGTON","AL"
1041,2661,39057,21.6,38.8,24,15.6,"01041","CRENSHAW","AL"
1043,11925,45796,18.2,35.6,32.4,13.7,"01043","CULLMAN","AL"
1045,7743,45309,14.2,32.7,36.1,17,"01045","DALE","AL"
1047,11841,34035,19.3,35.2,30.4,15.1,"01047","DALLAS","AL"
1049,14975,39491,25.9,33.3,28.1,12.7,"01049","DE KALB","AL"
1051,8559,60367,13.6,32.8,29,24.5,"01051","ELMORE","AL"
1053,8022,38418,18.5,44.5,24.4,12.7,"01053","ESCAMBIA","AL"
1055,17509,44903,15.5,32.9,33.9,17.7,"01055","ETOWAH","AL"
1057,3801,39254,17.6,41.5,27.9,12.9,"01057","FAYETTE","AL"
1059,5939,39388,23.2,36.8,27.1,12.9,"01059","FRANKLIN","AL"
1061,5537,37823,20.9,37.2,30.8,11.1,"01061","GENEVA","AL"
1063,2459,28524,24.1,36.8,29,10.1,"01063","GREENE","AL"
1065,3705,34724,16.4,42.6,26.9,14.1,"01065","HALE","AL"
1067,3037,46027,19.8,33.5,28.7,18,"01067","HENRY","AL"
1069,17032,47993,14.3,31.6,33,21,"01069","HOUSTON","AL"
1071,10046,41929,17.5,40.8,27.5,14.2,"01071","JACKSON","AL"
1073,103604,55013,10.3,26.8,30.6,32.4,"01073","JEFFERSON","AL"
1075,2374,40936,17.6,39.9,30,12.5,"01075","LAMAR","AL"
1077,12645,48707,12.6,36,27.5,23.9,"01077","LAUDERDALE","AL"
1079,6297,43909,21,41.5,25.8,11.7,"01079","LAWRENCE","AL"
1081,30075,48937,9.5,24.1,32.3,34.1,"01081","LEE","AL"
1083,10633,64863,15.7,30.3,28.5,25.5,"01083","LIMESTONE","AL"
1085,2474,33973,22.5,38.6,24.8,14.1,"01085","LOWNDES","AL"
1087,5031,32495,18.3,30.1,30.9,20.7,"01087","MACON","AL"
1089,42667,63755,8.9,20.8,28.6,41.7,"01089","MADISON","AL"
1091,4499,37733,16.2,39.8,28.6,15.4,"01091","MARENGO","AL"
1093,5844,37887,20.3,34.8,31.7,13.1,"01093","MARION","AL"
1095,17341,46233,19.1,31.1,30.5,19.2,"01095","MARSHALL","AL"
1097,84539,43598,13.8,33.5,29.8,22.9,"01097","MOBILE","AL"
1099,4560,39556,16.3,46.1,23.5,14.1,"01099","MONROE","AL"
1101,43567,49640,14.4,25.5,28,32.1,"01101","MONTGOMERY","AL"
1103,15419,52797,16.7,29.6,32,21.7,"01103","MORGAN","AL"
1105,2943,26814,21.9,39.4,22.9,15.7,"01105","PERRY","AL"
1107,4177,37586,19.4,36.7,30.4,13.5,"01107","PICKENS","AL"
1109,7315,37259,19,33.3,24.2,23.6,"01109","PIKE","AL"
1111,4375,40546,21.2,36.3,27.5,14.9,"01111","RANDOLPH","AL"
1113,12384,39104,16.7,32.3,34.5,16.5,"01113","RUSSELL","AL"
1115,10432,57284,15.2,36,32.3,16.5,"01115","ST. CLAIR","AL"
1117,16916,75663,7.8,20.3,29.7,42.1,"01117","SHELBY","AL"
1119,4076,27859,15.8,37.8,24.6,21.8,"01119","SUMTER","AL"
1121,14825,41630,19,34.9,31.8,14.3,"01121","TALLADEGA","AL"
1123,7839,42205,19.5,32.9,29.2,18.3,"01123","TALLAPOOSA","AL"
1125,33330,52557,11.6,29.9,28.3,30.3,"01125","TUSCALOOSA","AL"
1127,11231,45434,19.1,37.1,32.2,11.6,"01127","WALKER","AL"
1129,2846,44424,19.6,43.2,26.1,11.1,"01129","WASHINGTON","AL"
1131,3504,25385,23.1,40.3,24.1,12.5,"01131","WILCOX","AL"
1133,4338,41156,21.9,37.4,27.3,13.5,"01133","WINSTON","AL"
2013,544,70081,13.6,40.2,33.4,12.7,"02013","ALEUTIANS EAST","AK"
2016,550,82633,11.2,40.5,31.9,16.4,"02016","ALEUTIANS WEST","AK"
2020,27075,82113,6.2,23.8,34.7,35.3,"02020","ANCHORAGE","AK"
2050,5869,44304,18.6,45.2,23.9,12.3,"02050","BETHEL","AK"
2060,96,77257,5.6,34.9,37.2,22.3,"02060","BRISTOL BAY","AK"
2068,135,75477,1.6,26.1,28.8,43.5,"02068","DENALI","AK"
2070,1091,54524,12.7,39.2,28.8,19.3,"02070","DILLINGHAM","AK"
2090,8104,74268,5.5,22.3,39.7,32.6,"02090","FAIRBANKS NORTH STAR","AK"
2100,259,58943,3,30,29.5,37.4,"02100","HAINES","AK"
2105,370,51188,8.5,35.6,32.5,23.4,"02105",NA,"0"
2110,2299,79173,3.9,20.4,36.2,39.5,"02110","JUNEAU","AK"
2122,7103,65439,7.2,32.2,37.3,23.3,"02122","KENAI PENINSULA","AK"
2130,1244,68309,7.3,29.9,38.3,24.5,"02130","KETCHIKAN GATEWAY","AK"
2150,1073,74109,10.1,31.3,32.6,26,"02150","KODIAK ISLAND","AK"
2158,2905,32728,22.3,53.6,19.3,4.8,"02158",NA,"0"
2164,288,49403,14.5,41.9,27.9,15.8,"02164","LAKE AND PENINSULA","AK"
2170,10937,74649,7.6,32.2,39,21.2,"02170","MATANUSKA-SUSITNA","AK"
2180,2168,55318,15.9,42.9,26.6,14.6,"02180","NOME","AK"
2185,1094,89276,10.2,43,30.2,16.6,"02185","NORTH SLOPE","AK"
2188,1604,59337,18.1,47.3,22.8,11.7,"02188","NORTHWEST ARCTIC","AK"
2195,232,66075,10.3,31.9,30.3,27.6,"02195",NA,"0"
2198,1057,49356,9.8,37.3,35.3,17.6,"02198",NA,"0"
2220,656,71825,6,28.3,33,32.6,"02220","SITKA","AK"
2230,49,74635,6.3,23.4,36.6,33.7,"02230",NA,"0"
2240,918,63527,9.8,32.6,38.5,19.1,"02240","SOUTHEAST FAIRBANKS","AK"
2261,880,68528,4,32.7,32.7,30.6,"02261","VALDEZ-CORDOVA","AK"
2275,287,57832,11.7,37.6,30,20.7,"02275",NA,"0"
2282,79,59523,8.2,38.4,33.5,20,"02282","YAKUTAT","AK"
2290,1259,38912,14.3,40.3,32,13.4,"02290","YUKON-KOYUKUK","AK"
4001,26435,33652,20.4,33.1,34.8,11.7,"04001","APACHE","AZ"
4003,18273,49164,12.8,23.5,40.7,23,"04003","COCHISE","AZ"
4005,20964,60187,10.4,21.4,32.6,35.6,"04005","COCONINO","AZ"
4007,10804,43585,14.7,28.6,38.2,18.5,"04007","GILA","AZ"
4009,7118,50157,14.4,29.9,40.5,15.3,"04009","GRAHAM","AZ"
4011,985,65818,11,36.2,40.9,11.9,"04011","GREENLEE","AZ"
4012,4921,37350,22.7,33,32,12.4,"04012","LA PAZ","AZ"
4013,535183,65234,12.6,22.6,32.8,32,"04013","MARICOPA","AZ"
4015,34411,45129,14.7,34.8,37.6,12.9,"04015","MOHAVE","AZ"
4017,30876,40650,17.2,30.1,36.9,15.8,"04017","NAVAJO","AZ"
4019,164927,53395,11.7,22.5,34,31.9,"04019","PIMA","AZ"
4021,54399,58848,14.6,29.7,36.8,19,"04021","PINAL","AZ"
4023,11287,40545,24.4,27.2,27.4,21,"04023","SANTA CRUZ","AZ"
4025,30060,48758,9.7,25.7,39.4,25.2,"04025","YAVAPAI","AZ"
4027,39648,44116,27.9,25.9,31.4,14.8,"04027","YUMA","AZ"
5001,3120,43887,17,38.3,29.2,15.5,"05001","ARKANSAS","AR"
5003,3876,41127,17.7,39.9,29.2,13.2,"05003","ASHLEY","AR"
5005,6216,39686,11.8,35,34.8,18.3,"05005","BAXTER","AR"
5007,23290,68978,11.9,29.1,26.5,32.4,"05007","BENTON","AR"
5009,5472,44482,13,33.8,37.2,16,"05009","BOONE","AR"
5011,2329,37729,18,41.6,25.1,15.2,"05011","BRADLEY","AR"
5013,800,44969,17.3,43.6,27,12.1,"05013","CALHOUN","AR"
5015,4499,45023,14.2,34.6,30.8,20.4,"05015","CARROLL","AR"
5017,3039,31787,19.3,39.2,26.7,14.7,"05017","CHICOT","AR"
5019,3838,45408,10.8,30.5,31,27.6,"05019","CLARK","AR"
5021,3035,37687,19.3,41.2,27.8,11.6,"05021","CLAY","AR"
