"Provider Number","State","County","PoNP","Chain","Org","CnC","Operations","info","Neph","Staff","Facility","Profit or Non-Profit","Chain Owned","Chain Organization","Late Shift","# of Dialysis Stations","Offers in-center hemodialysis","Offers peritoneal dialysis","Offers home hemodialysis training","Certification or Recertification Date","Claims Date","CROWNWeb Date","STrR Date","Percentage of Medicare patients with Hgb<10 g/dL","HGB<10 data availability code","Percentage of Medicare patients with Hgb>12 g/dL","Hgb > 12 data availability code","Number of Dialysis Patients with Hgb data","Patient Transfusion data availability Code","Patient Transfusion category text","Number of patients included in the transfusion summary","Percent of Adult HD patients with Kt/V >= 1.2","Adult HD Kt/V data availability code","Percentage of Adult PD PTS with Kt/V >= 1.7","Adult PD Kt/V data availability code","Percentage of Pediatric HD patients with Kt/V >= 1.2","Pediatric HD Kt/V Data Availability Code","Number of adult HD patients with KT/V data","Number of adult HD patient-months with Kt/V data","Number of adult PD patients with KT/V data","Number of adult PD patient-months with Kt/V data","Number of pediatric HD patients with Kt/V data","Number of pediatric HD patient-months with KT/V data","Hypercalcemia Data Availability Code","Number of patients in hypercalcemia summary","Number of patient-months in hypercalcemia summary","Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL)","Number of patients in Serum phosphorus summary","Number of patient-months in Serum phosphorus summary","Serum phosphorus Data Availability Code","Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL","Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL","Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL","Percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL","Percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL","SHR Date","SRR Date","SMR Date","Patient hospitalization category text","Patient Hospitalization data availability Code","Patient Hospital Readmission Category","Patient Hospital Readmission data availability Code","Patient Survival Category Text","Patient Survival data availability code","Number of patients included in hospitalization summary","Number of hospitalizations included in hospital readmission summary","Number of Patients included in survival summary","Mortality Rate (Facility)","Mortality Rate: Upper Confidence Limit (97.5%)","Mortality Rate: Lower Confidence Limit (2.5%)","Readmission Rate (Facility)","Readmission Rate: Upper Confidence Limit (97.5%)","Readmission Rate: Lower Confidence Limit (2.5%)","Hospitalization Rate (Facility)","Hospitalization Rate: Upper Confidence Limit (97.5%)","Hospitalization Rate: Lower Confidence Limit (2.5%)","Number of pediatric PD patients with Kt/V data","Pediatric PD Kt/V Data Availability Code","Number of pediatric PD patient-months with KT/V data","Percentage of pediatric PD patients with Kt/V>=1.8","SIR Date","Patient Infection Data Availability Code","Patient Infection category text","Standard Infection Ratio","SIR: Upper Confidence Limit (97.5%)","SIR: Lower Confidence Limit (2.5%)","Transfusion Rate (Facility)","Transfusion Rate: Upper Confidence Limit (97.5%)","Transfusion Rate: Lower Confidence Limit (2.5%)","Fistula data availability code","Fistula Category Text","Number of Patients included in fistula summary","Fistula Rate (Facility)","Fistula Rate: Upper Confidence Limit (97.5%)","Fistula Rate: Lower Confidence Limit (2.5%)","Number of patients in long term catheter summary","Number of patient months in long term catheter summary","Long term catheter Data Availability Code","Percentage of Adult patients with long term catheter in use","Number of patients in nPCR summary","Number of patient-months in nPCR summary","nPCR Data Availability Code","Percentage of pediatric HD patients with nPCR","SWR Date","SWR category text","Patient transplant waitlist data availability code","95% C.I. (upper limit) for SWR","95% C.I. (lower limit) for SWR","Number of patients in this facility for SWR","Standardized First Kidney Transplant Waitlist Ratio","PPPW category text","Patient prevalent transplant waitlist data availability code","95% C.I. (upper limit) for PPPW","95% C.I. (lower limit) for PPPW","Number of patients for PPPW","Percentage of Prevalent Patients Waitlisted"
"012525","AL","MOBILE","Profit","Yes","FRESENIUS MEDICAL CARE",76,74,82,85,83,89,"Profit","Yes","FRESENIUS MEDICAL CARE",0,20,1,0,0,"12/02/1985","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",21,1,0,1,38,1,"As Expected",63,98,1,NA,257,NA,259,84,798,0,NA,0,NA,1,88,873,0,90,892,1,11,26,33,17,13,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"Better than Expected",1,71,93,306,14.4,19.9,10.1,25.8,37.9,15.9,202.1,313.2,131.8,0,259,NA,NA,"01/01/2019-12/31/2019",1,"Better than Expected",0,0.64,NA,23.5,74.4,8.9,1,"As Expected",90,55.9,75.5,35.1,90,888,1,5,0,NA,259,NA,"01/01/2016-12/31/2018","As Expected",1,1.74,0,15,0,"As Expected",1,30.2,3.2,63,10.7
"012526","AL","JEFFERSON","Profit","Yes","FRESENIUS MEDICAL CARE",77,71,70,78,77,77,"Profit","Yes","FRESENIUS MEDICAL CARE",0,34,1,1,1,"09/18/1985","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",17,1,0,1,42,1,"Worse than Expected",70,97,1,NA,201,NA,259,107,1053,0,NA,0,NA,1,111,1128,1,111,1110,1,10,24,27,25,14,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"As Expected",1,77,111,380,25.2,33.1,18.8,32.6,46.2,21.4,241.3,355.9,165.3,0,259,NA,NA,"01/01/2019-12/31/2019",1,"Better than Expected",0.18,0.89,0.01,48.9,108.5,25.1,1,"Worse than Expected",111,36.6,53.6,18.4,111,1129,1,7,0,NA,259,NA,"01/01/2016-12/31/2018","As Expected",1,2.3,0.24,38,0.9,"As Expected",1,47.4,12.5,86,26.4
"012527","AL","COFFEE","Non-Profit","Yes","DIALYSIS CLINIC, INC.",87,89,87,85,88,91,"Non-Profit","Yes","DIALYSIS CLINIC, INC.",0,26,1,1,1,"07/04/1986","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",0,1,0,1,36,1,"As Expected",43,98,1,NA,201,NA,259,59,534,0,NA,0,NA,1,61,590,2,64,603,1,5,26,44,16,9,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"As Expected",1,46,43,216,23.6,32.4,16.7,27.8,45.9,13.3,127.8,227.8,75.6,0,259,NA,NA,"01/01/2019-12/31/2019",1,"As Expected",1.16,2.79,0.37,15.8,80.8,4,1,"As Expected",63,65.9,89,41.1,63,589,1,7,1,2,199,NA,"01/01/2016-12/31/2018","Not Available",199,NA,NA,24,NA,"As Expected",1,49.1,8.2,47,22.7
"012502","AL","TUSCALOOSA","Profit","Yes","DAVITA",85,69,73,92,83,85,"Profit","Yes","DAVITA",0,23,1,1,0,"10/21/1977","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",22,1,0,1,65,1,"As Expected",92,97,1,NA,199,NA,259,119,1081,7,53,0,NA,1,131,1216,1,140,1261,1,8,23,30,20,18,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"As Expected",1,104,136,440,21.8,28.3,16.4,29.7,39.8,20.4,179.8,276.6,124.8,0,259,NA,NA,"01/01/2019-12/31/2019",1,"As Expected",0.66,1.46,0.24,8.5,43.7,2.2,1,"As Expected",127,50.5,67.2,32.6,127,1172,1,10,0,NA,259,NA,"01/01/2016-12/31/2018","As Expected",1,1.98,0.39,57,0.96,"As Expected",1,28.9,5.7,112,13.5
"012506","AL","HOUSTON","Profit","Yes","DAVITA",86,87,87,85,91,92,"Profit","Yes","DAVITA",0,27,1,1,1,"11/28/1977","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",21,1,0,1,34,1,"As Expected",60,98,1,NA,201,NA,259,70,552,0,NA,0,NA,1,75,625,0,79,655,1,6,22,33,23,17,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","Worse than Expected",1,"As Expected",1,"Worse than Expected",1,63,81,283,29.7,38.5,22.5,34.7,48.2,22.5,298.8,454.9,198.4,0,259,NA,NA,"01/01/2019-12/31/2019",1,"As Expected",0.7,1.89,0.18,44.2,113.3,20.1,1,"As Expected",82,56.9,79.1,33.2,82,659,1,8,0,NA,259,NA,"01/01/2016-12/31/2018","Not Available",199,NA,NA,22,NA,"As Expected",1,32.2,1.5,78,7.9
"012507","AL","MOBILE","Profit","Yes","FRESENIUS MEDICAL CARE",80,79,82,81,85,85,"Profit","Yes","FRESENIUS MEDICAL CARE",0,24,1,0,0,"01/04/1979","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",10,1,0,1,49,1,"As Expected",77,99,1,NA,257,NA,259,119,1046,0,NA,0,NA,1,123,1133,1,125,1172,1,10,24,25,23,17,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"As Expected",1,88,80,374,24.9,32.8,18.5,20.4,34.7,10.3,166.5,288,104.6,0,259,NA,NA,"01/01/2019-12/31/2019",1,"As Expected",0.36,1.19,0.06,4.7,62.2,0.5,1,"As Expected",126,52.2,69.2,34.1,126,1175,1,3,0,NA,259,NA,"01/01/2016-12/31/2018","As Expected",1,1.46,0,33,0,"As Expected",1,34.2,6.9,110,16.4
"012529","AL","LAUDERDALE","Profit","Yes","DAVITA",78,85,85,83,87,89,"Profit","Yes","DAVITA",0,18,1,1,0,"09/16/1986","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",23,1,7,1,75,1,"As Expected",105,99,1,96,1,NA,259,89,792,42,309,0,NA,1,130,1158,1,139,1202,1,5,22,31,22,19,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"As Expected",1,112,136,489,24.9,30.8,19.9,27,36.8,18.4,186.3,286.5,129.3,0,259,NA,NA,"01/01/2019-12/31/2019",1,"As Expected",1.55,3.07,0.68,14.4,48.5,5.2,1,"As Expected",99,72.6,87.9,56.2,99,873,1,10,0,NA,259,NA,"01/01/2016-12/31/2018","As Expected",1,1.85,0.2,70,0.72,"As Expected",1,37.3,10.2,116,20.7
"012530","AL","CALHOUN","Profit","No","INDEPENDENT",79,73,70,84,81,84,"Profit","No","INDEPENDENT",0,21,1,0,0,"01/07/1987","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",18,1,0,1,44,1,"As Expected",61,95,1,NA,257,NA,199,82,765,0,NA,1,3,1,84,789,0,90,819,1,6,22,28,27,16,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"Worse than Expected",1,71,84,309,31.5,40.9,23.8,22.5,37,11.8,187.8,301.7,118.3,0,259,NA,NA,"01/01/2019-12/31/2019",1,"Better than Expected",0,0.52,NA,30.6,87.6,12.7,1,"As Expected",89,54.8,74.5,33.7,89,813,1,14,1,3,199,NA,"01/01/2016-12/31/2018","As Expected",1,1.69,0.06,48,0.47,"As Expected",1,37.1,5.9,82,16.1
"012500","AL","MONTGOMERY","Profit","Yes","FRESENIUS MEDICAL CARE",83,76,71,84,81,83,"Profit","Yes","FRESENIUS MEDICAL CARE",0,34,1,1,1,"09/01/1976","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",16,1,0,1,58,1,"As Expected",84,99,1,NA,201,NA,259,126,1162,0,NA,0,NA,1,128,1206,3,137,1225,1,10,25,26,23,15,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"As Expected",1,102,91,404,22.4,29.3,16.7,23.7,35.7,14,148.7,243.2,98,0,259,NA,NA,"01/01/2019-12/31/2019",1,"Better than Expected",0.34,0.93,0.09,13.8,54.7,4.3,1,"Worse than Expected",138,42.7,57.9,26.5,138,1277,1,20,0,NA,259,NA,"01/01/2016-12/31/2018","Worse than Expected",1,0.95,0,56,0.17,"As Expected",1,25,3.8,116,10.2
"012517","AL","LIMESTONE","Profit","Yes","DAVITA",75,77,79,85,83,85,"Profit","Yes","DAVITA",0,12,1,1,1,"01/21/1983","01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2019-12/31/2019",6,1,0,1,47,1,"Worse than Expected",68,97,1,NA,199,NA,259,89,715,1,11,0,NA,1,95,796,2,99,820,1,5,17,29,25,24,"01/01/2019-12/31/2019","01/01/2019-12/31/2019","01/01/2016-12/31/2019","As Expected",1,"As Expected",1,"Worse than Expected",1,78,90,346,31.4,39.7,24.5,39.1,53.8,25.4,214,331.6,139.6,0,259,NA,NA,"01/01/2019-12/31/2019",1,"As Expected",1.61,3.19,0.7,59.8,122.2,32.8,1,"As Expected",99,61.9,80.6,41.9,99,829,1,6,0,NA,259,NA,"01/01/2016-12/31/2018","As Expected",1,2.82,0.2,50,0.96,"As Expected",1,44.6,8.5,81,21.4
